id,l3,rooms,bathrooms,surface_total,surface_covered,price,property_type,precio_en_miles
PRuTh10iQK73+goRwsEm7g==,Parque Chacabuco,2,1,47,41,89000,PH,89
6ZwPWkjuGDttdX9VxH9Mgg==,Boedo,2,1,40,40,69000,Departamento,69
rqTa4k6n9kfg9ldo8CQF1w==,Flores,2,1,51,46,120000,Departamento,120
mFqbMJO7xWtnJKheWg4SIw==,Nuñez,2,1,116,116,269000,Departamento,269
czL9/spy0DHuUAETDxzs8A==,Almagro,2,1,60,54,103000,Departamento,103
jViGM38De+sI+M/nVwRFyw==,Almagro,2,1,60,54,103000,Departamento,103
C+WfCmSo4LdP7/4fZ0IHtQ==,Coghlan,2,1,55,35,129000,Departamento,129
GspnkJ1rVdpQVYpY1RWbSg==,Palermo,2,1,39,36,100000,Departamento,100
6CqV5MWHU8uo+kjgLChVMw==,Palermo,2,1,48,42,165000,Departamento,165
uGACq7PU+Ru8IgzDhgrixQ==,Belgrano,2,1,67,62,200000,Departamento,200
sHMzP8GK1yjrpF822nf1fA==,Belgrano,2,1,43,40,125000,Departamento,125
RV6jLbo6KSjXdTxw7jpWOA==,Belgrano,2,1,66,57,165000,Departamento,165
WNMGookiR2o4Kobz9Cq0/A==,Belgrano,2,2,52,45,90000,Departamento,90
d4rsOIuOnvH1nMDrFciJCw==,Recoleta,2,1,32,32,48000,Departamento,48
k2+3KWD+hGhwuEfsW2LXZQ==,Saavedra,2,1,42,38,119000,Departamento,119
XKg3+ozm1mWN/4sCbwBIWw==,Caballito,2,1,42,42,99000,Departamento,99
ElvJQAZX35AAm7hPd4+bIg==,Caballito,2,1,79,49,136000,Departamento,136
UyQlnjFRZc4qyvEVH04jJA==,Chacarita,2,1,44,40,85000,Departamento,85
HVuEU+k3dz/lLrvSm6mN3A==,Chacarita,2,1,44,40,85000,Departamento,85
CpMm/s0K0BUk2Sa2wuWz1w==,Villa Crespo,2,1,41,41,70000,Departamento,70
UyiMMQj2/s9zpUF6lrCkKg==,Villa Pueyrredón,2,1,23,23,51500,Departamento,52
8PCl1m5TvqNY04tEMngxLg==,Caballito,3,2,89,65,139900,PH,140
2MrI5GOl9IJ4Ns7vkH+OEQ==,Boedo,3,1,85,72,121700,Departamento,122
oiDcsdFvb2hrRgCJYbVKNw==,Abasto,3,1,47,45,85000,Departamento,85
a68mr9hvFf4srnrupKaAQQ==,Flores,3,1,67,61,160000,Departamento,160
l33vCYsFib7FmBY86PAsNw==,Flores,3,1,53,50,120000,Departamento,120
pCkjJnGfBWPRIYSJQaukww==,Almagro,3,2,66,66,128000,Departamento,128
TR3vfEHAyt7BPt8+kmxiAQ==,Almagro,3,2,74,74,120000,Departamento,120
GbtvTufvklTd4XCrsbq76A==,Palermo,3,2,115,101,466000,Departamento,466
stNLt13zzHNPnN02//i+GQ==,Palermo,3,2,112,112,567000,Departamento,567
ECZzJnxEcc/XqWW90y9w+g==,Palermo,3,2,133,133,598000,Departamento,598
aHcZg9cHkyGIUBuwa1OEOg==,Palermo,3,2,68,65,295000,Departamento,295
5s68qcwF/TjjGSzN2Y+vpQ==,Palermo,3,1,60,60,155000,Departamento,155
2iczhiw+yM94KMs4Yu0DzQ==,Palermo,3,1,137,82,340000,Departamento,340
0H3gWJFIjSJPvD0VbJ7sjQ==,Belgrano,3,1,73,69,265000,Departamento,265
aLPGAJg9EAr1/HgSHNFTCQ==,Belgrano,3,1,56,50,148000,Departamento,148
sBWfFq9F1gM6NgOGbGa33w==,Belgrano,3,1,59,59,144000,Departamento,144
